# Reference QAOA results — satisfaction fractions and optimised angles
# Source: QOKit max_k_xor_sat module (C++ tensor contraction, double-double precision)
# Convention: phase gate e^{-i*(gamma/2)*Z^k}, mixer Rx(2*beta)
# gamma and beta fields use ; as separator for multiple depth values
# All configurations use clause_sign = +1 (XORSAT)
# Format: k,D,p,ctilde,source,gamma,beta
2,3,1,0.692450089730,qokit-cpp-dd,0.615479708669823,0.392699081584979
3,6,11,0.806660377221,qokit-cpp-dd,0.182878431080361;0.331413009870151;0.359027746467219;0.372934834475962;0.379932575967117;0.386608549388265;0.396587266728413;0.413945480509234;0.44162722906707;0.500600201178559;0.566512376909407,0.38232811734262;0.310769392096921;0.28755153233901;0.279502801841271;0.273544816531981;0.266870612068262;0.256063597543051;0.238739916436797;0.208150295207759;0.163196124034029;0.0793158577714479
3,6,12,0.810821699733,qokit-cpp-dd,0.17784463211735;0.324075199290152;0.35184272465797;0.365568296567449;0.371747794808526;0.376602643419775;0.383126417859729;0.393867710868804;0.412893288615878;0.441810128721004;0.502523387342566;0.567881118593478,0.381177852868242;0.309056210434699;0.285925252357072;0.278392847562109;0.273554590667023;0.269002594412758;0.262191709625772;0.250509780357689;0.232345917668979;0.200866233684859;0.156057079759459;0.0749118586716326
3,6,13,0.814468616463,qokit-cpp-dd,0.173372865180183;0.317485510736395;0.345469170767573;0.359169228351408;0.364814174826924;0.368594522380001;0.373015606897101;0.379903698498052;0.391628404678037;0.412207472911392;0.442127758821291;0.504206003835242;0.568948736752777,0.380033563631583;0.307319059005974;0.284210659436677;0.276951517059714;0.272768163320942;0.269591390462661;0.26526694140964;0.257951730175655;0.245279923770645;0.226367104397224;0.194248410467412;0.149771867188765;0.0711421090595041
3,6,14,0.817690012995,qokit-cpp-dd,0.169374243217734;0.311544174330029;0.339791456814702;0.353504771816952;0.358773031426855;0.361982317964034;0.365094302623637;0.369508274338107;0.376974508294705;0.38977961114993;0.411875526727501;0.442519570746979;0.505584082842064;0.569747190389136,0.378891143059268;0.305604379666515;0.282489645011856;0.275293518969654;0.271568855069869;0.26927042921114;0.266460927497717;0.26187483028709;0.253914880921335;0.240347740285571;0.220799180699196;0.188206433096651;0.144142723508005;0.0678065136182995
3,6,15,0.820553008263,qokit-cpp-dd,0.165212226791285;0.306074585186015;0.334510220848693;0.348295445642542;0.353322189628201;0.356089267232778;0.358510860794355;0.361587534095995;0.36634858651486;0.374605594104377;0.388634976782194;0.411864223797668;0.443192154026394;0.506908765482766;0.570534175011732,0.377711497610831;0.303856122751707;0.280615834621677;0.273478514150296;0.270001837931837;0.268237407470305;0.266324658653579;0.263112632491865;0.258003170294117;0.249322777476556;0.235077464883216;0.215019367403333;0.182275782954435;0.138820730193046;0.064499381859373
3,6,16,0.823112215253,qokit-cpp-dd,0.162072555136449;0.300203622811734;0.329544921460157;0.34384200971828;0.348691446862184;0.351341682235998;0.35315078412182;0.354958543941384;0.357582890534645;0.36250421207574;0.37215798754024;0.38738578990465;0.412631882886564;0.444104633513147;0.50827251665975;0.571268358019866,0.376518067755483;0.302244694178463;0.278671660964716;0.271477096460446;0.268054011357816;0.266680374042171;0.265383205062064;0.26322698642859;0.259573633607506;0.253856447177707;0.244714623542953;0.229282254075995;0.209134943528681;0.176386713373976;0.133659660530876;0.0613997396774902
3,7,1,0.629519381067,qokit-cpp-dd,0.407733754861221,0.288602275287002
3,7,2,0.676725383442,qokit-cpp-dd,0.311288042227488;0.517208575302813,0.354175588104029;0.208825081669795
3,7,3,0.705903939185,qokit-cpp-dd,0.266905130246234;0.445674307728422;0.508970351878673,0.37597915796127;0.279745236777775;0.171312247064248
3,7,4,0.725710158738,qokit-cpp-dd,0.239491405749386;0.403122793906991;0.448741000083415;0.506934297536282,0.381457863936134;0.302577346103974;0.247642449470284;0.146911546820829
